date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999985366482,1.0000000012827146,46303774477
2024-12-25,1.0,0.9999999983279657,1.0000000015419297,46303774477
2024-12-26,1.0,0.9999999979942746,1.0000000017989463,46303774477
2024-12-27,1.0,0.9999999969350506,1.000000002084923,46303774477
2024-12-28,1.0,0.9999999955178817,1.0000000035478158,46303774477
2024-12-29,1.0,0.9999999939234007,1.0000000049181546,46303774477
2024-12-30,1.0,0.9999999920501794,1.0000000075827797,46303774477
2024-12-31,1.0,0.9999999900461889,1.0000000089642849,46303774477
2025-01-01,1.0,0.9999999880471138,1.0000000124958772,46303774477
2025-01-02,1.0,0.9999999862278979,1.0000000145847239,46303774477
2025-01-03,1.0,0.999999983155061,1.0000000175494608,46303774477
2025-01-04,1.0,0.9999999801948198,1.0000000197984318,46303774477
2025-01-05,1.0,0.9999999783312472,1.0000000234374722,46303774477
2025-01-06,1.0,0.999999976131147,1.0000000264862734,46303774477
2025-01-07,1.0,0.9999999736703675,1.0000000294015847,46303774477
2025-01-08,1.0,0.9999999706738012,1.0000000328996657,46303774477
2025-01-09,1.0,0.9999999685257808,1.0000000368009092,46303774477
2025-01-10,1.0,0.999999965833721,1.0000000398704136,46303774477
2025-01-11,1.0,0.9999999617915988,1.000000044518986,46303774477
2025-01-12,1.0,0.9999999590747538,1.0000000492228005,46303774477
2025-01-13,1.0,0.9999999547436739,1.0000000525406088,46303774477
2025-01-14,1.0,0.9999999499207824,1.0000000570972876,46303774477
2025-01-15,1.0,0.9999999467583506,1.0000000615467883,46303774477
2025-01-16,1.0,0.9999999435253909,1.000000065906491,46303774477
2025-01-17,1.0,0.9999999394589181,1.0000000709474604,46303774477
2025-01-18,1.0,0.9999999354386635,1.0000000760162824,46303774477
2025-01-19,1.0,0.9999999314454459,1.0000000801891662,46303774477
2025-01-20,1.0,0.9999999267099523,1.000000084299603,46303774477
2025-03-04,1.9999996656589085,1.9999996656574515,1.9999996656603887,46303862950
2025-03-05,1.9999996656589087,1.9999996656574734,1.9999996656605297,46303862950
2025-03-06,1.9999996656589092,1.9999996656572265,1.9999996656606445,46303862950
2025-03-07,1.9999996656589094,1.9999996656572616,1.9999996656607597,46303862950
2025-03-08,1.9999996656589096,1.9999996656570755,1.9999996656609025,46303862950
2025-03-09,1.99999966565891,1.999999665656682,1.9999996656616288,46303862950
2025-03-10,1.9999996656589103,1.9999996656560401,2.000016633639185,46303862950
2025-03-11,1.9999996656589105,1.999960697574835,2.000043559116799,46303862950
2025-03-12,1.9999996656589107,1.9999293812171068,2.000096638970725,46303862950
2025-03-13,1.9999996656589112,1.999884637977871,2.000144398764176,46303862950
2025-03-14,1.9999996656589114,1.999798226340702,2.000190975680908,46303862950
2025-03-15,1.9999996656589116,1.9997469323528436,2.0002500826158154,46303862950
2025-03-16,1.9999996656589119,1.99967153718374,2.000338279924266,46303862950
2025-03-17,1.9999996656589123,1.9995925238131529,2.00042638793428,46303862950
2025-03-18,1.9999996656589125,1.999476483832118,2.000548827689907,46303862950
2025-03-19,1.9999996656589127,1.9993920172262352,2.0006468930273926,46303862950
2025-03-20,1.9999996656589132,1.9992735899014422,2.0007918846179145,46303862950
2025-03-21,1.9999996656589134,1.9991608221713932,2.000954462971674,46303862950
2025-03-22,1.9999996656589136,1.999078962002897,2.001039814104525,46303862950
2025-03-23,1.9999996656589138,1.9989603861285248,2.001131739550944,46303862950
2025-03-24,1.9999996656589143,1.998779907625873,2.0012534457852356,46303862950
2025-03-25,1.9999996656589145,1.9987128346285739,2.0013931061691554,46303862950
2025-03-26,1.9999996656589147,1.9985910689585284,2.0015238100811974,46303862950
2025-03-27,1.999999665658915,1.998438670390871,2.001614301823105,46303862950
2025-03-28,1.9999996656589154,1.9982756550805851,2.001720057709182,46303862950
2025-03-29,1.9999996656589156,1.9980739737700153,2.0018895079542918,46303862950
2025-03-30,1.9999996656589158,1.9978663394862246,2.0020504579057947,46303862950
2025-03-31,1.9999996656589163,1.9976789726875976,2.002226188265291,46303862950
2025-03-04,5.434594712288739,1.2564749714190981,9.504561054336378,46303877432
2025-03-05,4.865590756422694,0.6220689505613566,9.070139421287516,46303877432
2025-03-06,4.296586800556636,0.4419371734515569,8.547278605017949,46303877432
2025-03-07,3.727582844690591,-0.4003099547155407,7.982536091651028,46303877432
2025-03-08,3.1585788888245467,-0.7381633256941511,7.325652923499008,46303877432
2025-03-09,2.5895749329585023,-1.6650808885931245,6.665264219668279,46303877432
2025-03-10,2.020570977092458,-2.1794947731650094,6.0803811684173645,46303877432
2025-03-11,1.4515670212264133,-2.5293244831672568,5.567606355432909,46303877432
2025-03-12,0.8825630653603618,-3.4432021871229836,4.736253563648435,46303877432
2025-03-13,0.3135591094943173,-3.896701323525932,4.372475405137349,46303877432
2025-03-14,-0.25544484637172715,-4.353644774220667,4.07328204287964,46303877432
2025-03-15,-0.8244488022377716,-4.776776470586427,3.616476195748411,46303877432
2025-03-16,-1.393452758103816,-5.681684012008641,2.8158069590677934,46303877432
2025-03-17,-1.9624567139698605,-6.097307123040769,1.9444167354310165,46303877432
2025-03-18,-2.531460669835919,-6.7217028628675815,1.5521949020212098,46303877432
2025-03-19,-3.1004646257019637,-7.08514576580894,0.978141886622776,46303877432
2025-03-20,-3.669468581568008,-7.692941603923211,0.24200489130185016,46303877432
2025-03-21,-4.238472537434053,-8.617017145381036,-0.37964154788162274,46303877432
2025-03-22,-4.807476493300097,-8.857571734100873,-0.8875467585882006,46303877432
